Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
1, 11, 23, 0, 64.1762, 5.65293, 0.180, 1.378, 0.004

0, 11, 22, 1, 64.1762, 5.65293, 0.220, 1.407, 0.004

1, 11, 23, 1, 64.1762, 5.65293, 0.180, 1.366, 0.004

0, 11, 22, 2, 64.1762, 5.65293, 0.230, 1.391, 0.004

1, 11, 23, 2, 64.1762, 5.65293, 0.180, 1.379, 0.004

0, 11, 22, 3, 64.1762, 5.65293, 0.230, 1.400, 0.004

1, 11, 23, 3, 64.1762, 5.65293, 0.180, 1.371, 0.004

0, 11, 22, 4, 64.1762, 5.65293, 0.230, 1.410, 0.004

1, 11, 23, 4, 64.1762, 5.65293, 0.180, 1.378, 0.004

0, 11, 22, 0, 64.1762, 5.90293, 0.220, 1.404, 0.004

1, 11, 23, 0, 64.1762, 5.90293, 0.200, 1.379, 0.004

0, 11, 22, 1, 64.1762, 5.90293, 0.230, 1.408, 0.004

1, 11, 23, 1, 64.1762, 5.90293, 0.200, 1.377, 0.004

0, 11, 22, 2, 64.1762, 5.90293, 0.230, 1.397, 0.004

1, 11, 23, 2, 64.1762, 5.90293, 0.200, 1.381, 0.004

0, 11, 22, 3, 64.1762, 5.90293, 0.230, 1.406, 0.004

1, 11, 23, 3, 64.1762, 5.90293, 0.200, 1.377, 0.004

0, 11, 22, 4, 64.1762, 5.90293, 0.230, 1.406, 0.004

1, 11, 23, 4, 64.1762, 5.90293, 0.200, 1.377, 0.004

0, 11, 22, 0, 64.1762, 6.15293, 0.230, 1.391, 0.004

1, 11, 23, 0, 64.1762, 6.15293, 0.240, 1.379, 0.004

0, 11, 22, 1, 64.1762, 6.15293, 0.230, 1.404, 0.004

1, 11, 23, 1, 64.1762, 6.15293, 0.230, 1.376, 0.004

0, 11, 22, 2, 64.1762, 6.15293, 0.230, 1.399, 0.004

1, 11, 23, 2, 64.1762, 6.15293, 0.240, 1.385, 0.004

0, 11, 22, 3, 64.1762, 6.15293, 0.230, 1.404, 0.004

1, 11, 23, 3, 64.1762, 6.15293, 0.230, 1.379, 0.004

0, 11, 22, 4, 64.1762, 6.15293, 0.220, 1.398, 0.004

1, 11, 23, 4, 64.1762, 6.15293, 0.240, 1.371, 0.004

0, 11, 22, 0, 64.1762, 6.40293, 0.230, 1.406, 0.004

1, 11, 23, 0, 64.1762, 6.40293, 0.290, 1.376, 0.004

0, 11, 22, 1, 64.1762, 6.40293, 0.230, 1.395, 0.004

1, 11, 23, 1, 64.1762, 6.40293, 0.300, 1.375, 0.004

0, 11, 22, 2, 64.1762, 6.40293, 0.230, 1.398, 0.004

1, 11, 23, 2, 64.1762, 6.40293, 0.280, 1.376, 0.004

0, 11, 22, 3, 64.1762, 6.40293, 0.230, 1.401, 0.004

1, 11, 23, 3, 64.1762, 6.40293, 0.290, 1.376, 0.004

0, 11, 22, 4, 64.1762, 6.40293, 0.220, 1.396, 0.004

1, 11, 23, 4, 64.1762, 6.40293, 0.280, 1.378, 0.004

0, 11, 22, 0, 64.1762, 6.65293, 0.230, 1.408, 0.004

1, 11, 23, 0, 64.1762, 6.65293, 0.320, 1.380, 0.004

0, 11, 22, 1, 64.1762, 6.65293, 0.230, 1.409, 0.004

1, 11, 23, 1, 64.1762, 6.65293, 0.320, 1.372, 0.004

0, 11, 22, 2, 64.1762, 6.65293, 0.220, 1.403, 0.004

1, 11, 23, 2, 64.1762, 6.65293, 0.310, 1.378, 0.004

0, 11, 22, 3, 64.1762, 6.65293, 0.230, 1.399, 0.004

1, 11, 23, 3, 64.1762, 6.65293, 0.330, 1.363, 0.004

0, 11, 22, 4, 64.1762, 6.65293, 0.230, 1.401, 0.004

1, 11, 23, 4, 64.1762, 6.65293, 0.330, 1.376, 0.004

0, 11, 22, 0, 64.1762, 6.90293, 0.230, 1.402, 0.004

1, 11, 23, 0, 64.1762, 6.90293, 0.340, 1.373, 0.004

0, 11, 22, 1, 64.1762, 6.90293, 0.230, 1.400, 0.004

1, 11, 23, 1, 64.1762, 6.90293, 0.330, 1.375, 0.004

0, 11, 22, 2, 64.1762, 6.90293, 0.230, 1.405, 0.004

1, 11, 23, 2, 64.1762, 6.90293, 0.330, 1.370, 0.004

0, 11, 22, 3, 64.1762, 6.90293, 0.230, 1.398, 0.004

1, 11, 23, 3, 64.1762, 6.90293, 0.330, 1.378, 0.004

0, 11, 22, 4, 64.1762, 6.90293, 0.220, 1.410, 0.004

1, 11, 23, 4, 64.1762, 6.90293, 0.330, 1.378, 0.004

0, 11, 22, 0, 64.1762, 7.15293, 0.220, 1.397, 0.004

1, 11, 23, 0, 64.1762, 7.15293, 0.340, 1.377, 0.004

0, 11, 22, 1, 64.1762, 7.15293, 0.230, 1.410, 0.004

1, 11, 23, 1, 64.1762, 7.15293, 0.330, 1.381, 0.004

0, 11, 22, 2, 64.1762, 7.15293, 0.220, 1.395, 0.004

1, 11, 23, 2, 64.1762, 7.15293, 0.340, 1.380, 0.004

0, 11, 22, 3, 64.1762, 7.15293, 0.220, 1.402, 0.004

1, 11, 23, 3, 64.1762, 7.15293, 0.340, 1.377, 0.004

0, 11, 22, 4, 64.1762, 7.15293, 0.230, 1.399, 0.004

1, 11, 23, 4, 64.1762, 7.15293, 0.330, 1.358, 0.004

0, 11, 22, 0, 64.1762, 7.40293, 0.230, 1.409, 0.004

1, 11, 23, 0, 64.1762, 7.40293, 0.320, 1.350, 0.004

0, 11, 22, 1, 64.1762, 7.40293, 0.220, 1.400, 0.004

1, 11, 23, 1, 64.1762, 7.40293, 0.330, 1.372, 0.004

0, 11, 22, 2, 64.1762, 7.40293, 0.220, 1.404, 0.004

1, 11, 23, 2, 64.1762, 7.40293, 0.320, 1.379, 0.004

0, 11, 22, 3, 64.1762, 7.40293, 0.230, 1.396, 0.004

1, 11, 23, 3, 64.1762, 7.40293, 0.330, 1.374, 0.004

0, 11, 22, 4, 64.1762, 7.40293, 0.230, 1.403, 0.004

1, 11, 23, 4, 64.1762, 7.40293, 0.320, 1.353, 0.004

0, 11, 22, 0, 64.1762, 7.65293, 0.230, 1.400, 0.004

1, 11, 23, 0, 64.1762, 7.65293, 0.320, 1.379, 0.004

0, 11, 22, 1, 64.1762, 7.65293, 0.230, 1.397, 0.004

1, 11, 23, 1, 64.1762, 7.65293, 0.310, 1.376, 0.004

0, 11, 22, 2, 64.1762, 7.65293, 0.230, 1.399, 0.004

1, 11, 23, 2, 64.1762, 7.65293, 0.300, 1.361, 0.004

0, 11, 22, 3, 64.1762, 7.65293, 0.230, 1.406, 0.004

1, 11, 23, 3, 64.1762, 7.65293, 0.310, 1.373, 0.004

0, 11, 22, 4, 64.1762, 7.65293, 0.230, 1.396, 0.004

1, 11, 23, 4, 64.1762, 7.65293, 0.310, 1.388, 0.004

0, 11, 22, 0, 64.1762, 7.90293, 0.230, 1.396, 0.004

1, 11, 23, 0, 64.1762, 7.90293, 0.300, 1.365, 0.004

0, 11, 22, 1, 64.1762, 7.90293, 0.220, 1.401, 0.004

1, 11, 23, 1, 64.1762, 7.90293, 0.310, 1.369, 0.004

0, 11, 22, 2, 64.1762, 7.90293, 0.230, 1.409, 0.004

1, 11, 23, 2, 64.1762, 7.90293, 0.310, 1.351, 0.004

0, 11, 22, 3, 64.1762, 7.90293, 0.220, 1.405, 0.004

1, 11, 23, 3, 64.1762, 7.90293, 0.300, 1.367, 0.004

0, 11, 22, 4, 64.1762, 7.90293, 0.230, 1.405, 0.004

1, 11, 23, 4, 64.1762, 7.90293, 0.310, 1.358, 0.004

0, 11, 22, 0, 64.1762, 8.15293, 0.230, 1.402, 0.004

1, 11, 23, 0, 64.1762, 8.15293, 0.300, 1.376, 0.004

0, 11, 22, 1, 64.1762, 8.15293, 0.220, 1.401, 0.004

1, 11, 23, 1, 64.1762, 8.15293, 0.310, 1.374, 0.004

0, 11, 22, 2, 64.1762, 8.15293, 0.220, 1.407, 0.004

1, 11, 23, 2, 64.1762, 8.15293, 0.300, 1.376, 0.004

0, 11, 22, 3, 64.1762, 8.15293, 0.230, 1.413, 0.004

1, 11, 23, 3, 64.1762, 8.15293, 0.310, 1.371, 0.004

0, 11, 22, 4, 64.1762, 8.15293, 0.230, 1.401, 0.004

1, 11, 23, 4, 64.1762, 8.15293, 0.310, 1.379, 0.004

0, 11, 22, 0, 64.1762, 8.40293, 0.230, 1.406, 0.004

1, 11, 23, 0, 64.1762, 8.40293, 0.330, 1.377, 0.004

0, 11, 22, 1, 64.1762, 8.40293, 0.230, 1.408, 0.004

1, 11, 23, 1, 64.1762, 8.40293, 0.320, 1.367, 0.004

0, 11, 22, 2, 64.1762, 8.40293, 0.230, 1.405, 0.004

1, 11, 23, 2, 64.1762, 8.40293, 0.330, 1.335, 0.004

0, 11, 22, 3, 64.1762, 8.40293, 0.220, 1.403, 0.004

1, 11, 23, 3, 64.1762, 8.40293, 0.330, 1.363, 0.004

0, 11, 22, 4, 64.1762, 8.40293, 0.230, 1.399, 0.004

1, 11, 23, 4, 64.1762, 8.40293, 0.330, 1.375, 0.004

0, 11, 22, 0, 64.1762, 8.65293, 0.220, 1.406, 0.004

1, 11, 23, 0, 64.1762, 8.65293, 0.340, 1.375, 0.004

0, 11, 22, 1, 64.1762, 8.65293, 0.230, 1.397, 0.004

1, 11, 23, 1, 64.1762, 8.65293, 0.340, 1.378, 0.004

0, 11, 22, 2, 64.1762, 8.65293, 0.230, 1.400, 0.004

1, 11, 23, 2, 64.1762, 8.65293, 0.350, 1.377, 0.004

0, 11, 22, 3, 64.1762, 8.65293, 0.220, 1.400, 0.004

1, 11, 23, 3, 64.1762, 8.65293, 0.330, 1.369, 0.004

0, 11, 22, 4, 64.1762, 8.65293, 0.230, 1.400, 0.004

1, 11, 23, 4, 64.1762, 8.65293, 0.340, 1.370, 0.004

0, 11, 22, 0, 64.1762, 8.90293, 0.220, 1.401, 0.004

1, 11, 23, 0, 64.1762, 8.90293, 0.350, 1.376, 0.004

0, 11, 22, 1, 64.1762, 8.90293, 0.230, 1.398, 0.004

1, 11, 23, 1, 64.1762, 8.90293, 0.350, 1.379, 0.004

0, 11, 22, 2, 64.1762, 8.90293, 0.230, 1.401, 0.004

1, 11, 23, 2, 64.1762, 8.90293, 0.330, 1.377, 0.004

0, 11, 22, 3, 64.1762, 8.90293, 0.230, 1.400, 0.004

1, 11, 23, 3, 64.1762, 8.90293, 0.350, 1.380, 0.004

0, 11, 22, 4, 64.1762, 8.90293, 0.230, 1.393, 0.004

1, 11, 23, 4, 64.1762, 8.90293, 0.360, 1.375, 0.004

0, 11, 22, 0, 64.1762, 9.15293, 0.230, 1.395, 0.004

1, 11, 23, 0, 64.1762, 9.15293, 0.340, 1.378, 0.004

0, 11, 22, 1, 64.1762, 9.15293, 0.230, 1.402, 0.004

1, 11, 23, 1, 64.1762, 9.15293, 0.340, 1.370, 0.004

0, 11, 22, 2, 64.1762, 9.15293, 0.230, 1.403, 0.004

1, 11, 23, 2, 64.1762, 9.15293, 0.340, 1.374, 0.004

0, 11, 22, 3, 64.1762, 9.15293, 0.220, 1.402, 0.004

1, 11, 23, 3, 64.1762, 9.15293, 0.360, 1.378, 0.004

0, 11, 22, 4, 64.1762, 9.15293, 0.230, 1.401, 0.004

1, 11, 23, 4, 64.1762, 9.15293, 0.350, 1.377, 0.004

0, 11, 22, 0, 64.1762, 9.40293, 0.220, 1.399, 0.004

1, 11, 23, 0, 64.1762, 9.40293, 0.360, 1.370, 0.004

0, 11, 22, 1, 64.1762, 9.40293, 0.220, 1.399, 0.004

1, 11, 23, 1, 64.1762, 9.40293, 0.330, 1.371, 0.004

0, 11, 22, 2, 64.1762, 9.40293, 0.230, 1.406, 0.004

1, 11, 23, 2, 64.1762, 9.40293, 0.350, 1.378, 0.004

0, 11, 22, 3, 64.1762, 9.40293, 0.230, 1.400, 0.004

1, 11, 23, 3, 64.1762, 9.40293, 0.340, 1.377, 0.004

0, 11, 22, 4, 64.1762, 9.40293, 0.230, 1.401, 0.004

1, 11, 23, 4, 64.1762, 9.40293, 0.340, 1.368, 0.004

0, 11, 22, 0, 64.1762, 9.65293, 0.230, 1.403, 0.004

1, 11, 23, 0, 64.1762, 9.65293, 0.340, 1.363, 0.004

0, 11, 22, 1, 64.1762, 9.65293, 0.230, 1.404, 0.004

1, 11, 23, 1, 64.1762, 9.65293, 0.350, 1.384, 0.004

0, 11, 22, 2, 64.1762, 9.65293, 0.220, 1.407, 0.004

1, 11, 23, 2, 64.1762, 9.65293, 0.350, 1.373, 0.004

0, 11, 22, 3, 64.1762, 9.65293, 0.230, 1.397, 0.004

1, 11, 23, 3, 64.1762, 9.65293, 0.370, 1.390, 0.004

0, 11, 22, 4, 64.1762, 9.65293, 0.230, 1.408, 0.004

1, 11, 23, 4, 64.1762, 9.65293, 0.340, 1.375, 0.004

0, 11, 22, 0, 64.1762, 9.90293, 0.220, 1.401, 0.004

1, 11, 23, 0, 64.1762, 9.90293, 0.340, 1.378, 0.004

0, 11, 22, 1, 64.1762, 9.90293, 0.230, 1.396, 0.004

1, 11, 23, 1, 64.1762, 9.90293, 0.350, 1.374, 0.004

0, 11, 22, 2, 64.1762, 9.90293, 0.230, 1.399, 0.004

1, 11, 23, 2, 64.1762, 9.90293, 0.360, 1.369, 0.004

0, 11, 22, 3, 64.1762, 9.90293, 0.230, 1.397, 0.004

1, 11, 23, 3, 64.1762, 9.90293, 0.350, 1.343, 0.004

0, 11, 22, 4, 64.1762, 9.90293, 0.230, 1.398, 0.004

1, 11, 23, 4, 64.1762, 9.90293, 0.350, 1.369, 0.004

0, 11, 22, 0, 0, 0, 0.230, 1.405, 0.004

1, 11, 23, 0, 0, 0, 0.170, 1.377, 0.004

0, 11, 22, 1, 0, 0, 0.230, 1.403, 0.004

1, 11, 23, 1, 0, 0, 0.170, 1.380, 0.004

0, 11, 22, 2, 0, 0, 0.230, 1.395, 0.004

1, 11, 23, 2, 0, 0, 0.180, 1.379, 0.004

0, 11, 22, 3, 0, 0, 0.220, 1.406, 0.004

1, 11, 23, 3, 0, 0, 0.170, 1.374, 0.004

0, 11, 22, 4, 0, 0, 0.230, 1.399, 0.004

1, 11, 23, 4, 0, 0, 0.170, 1.372, 0.004

0, 11, 22, 0, 64.1762, 10.1529, 0.230, 1.395, 0.004

1, 11, 23, 0, 64.1762, 10.1529, 0.360, 1.374, 0.004

0, 11, 22, 1, 64.1762, 10.1529, 0.230, 1.400, 0.004

1, 11, 23, 1, 64.1762, 10.1529, 0.350, 1.374, 0.004

0, 11, 22, 2, 64.1762, 10.1529, 0.220, 1.403, 0.004

1, 11, 23, 2, 64.1762, 10.1529, 0.340, 1.363, 0.004

0, 11, 22, 3, 64.1762, 10.1529, 0.230, 1.409, 0.004

1, 11, 23, 3, 64.1762, 10.1529, 0.350, 1.378, 0.004

0, 11, 22, 4, 64.1762, 10.1529, 0.220, 1.398, 0.004

1, 11, 23, 4, 64.1762, 10.1529, 0.340, 1.381, 0.004

0, 11, 22, 0, 64.1762, 10.4029, 0.230, 1.405, 0.004

1, 11, 23, 0, 64.1762, 10.4029, 0.340, 1.379, 0.004

0, 11, 22, 1, 64.1762, 10.4029, 0.220, 1.399, 0.004

1, 11, 23, 1, 64.1762, 10.4029, 0.350, 1.375, 0.004

0, 11, 22, 2, 64.1762, 10.4029, 0.220, 1.401, 0.004

1, 11, 23, 2, 64.1762, 10.4029, 0.340, 1.382, 0.004

0, 11, 22, 3, 64.1762, 10.4029, 0.220, 1.403, 0.004

1, 11, 23, 3, 64.1762, 10.4029, 0.360, 1.378, 0.004

0, 11, 22, 4, 64.1762, 10.4029, 0.220, 1.402, 0.004

1, 11, 23, 4, 64.1762, 10.4029, 0.340, 1.377, 0.004

0, 11, 22, 0, 64.1762, 10.6529, 0.220, 1.404, 0.004

1, 11, 23, 0, 64.1762, 10.6529, 0.350, 1.375, 0.004

0, 11, 22, 1, 64.1762, 10.6529, 0.230, 1.392, 0.004

1, 11, 23, 1, 64.1762, 10.6529, 0.370, 1.361, 0.004

0, 11, 22, 2, 64.1762, 10.6529, 0.220, 1.398, 0.004

1, 11, 23, 2, 64.1762, 10.6529, 0.350, 1.375, 0.004

0, 11, 22, 3, 64.1762, 10.6529, 0.230, 1.396, 0.004

1, 11, 23, 3, 64.1762, 10.6529, 0.340, 1.374, 0.004

0, 11, 22, 4, 64.1762, 10.6529, 0.230, 1.409, 0.004

1, 11, 23, 4, 64.1762, 10.6529, 0.350, 1.376, 0.004

0, 11, 22, 0, 64.1762, 10.9029, 0.220, 1.407, 0.004

1, 11, 23, 0, 64.1762, 10.9029, 0.340, 1.374, 0.004

0, 11, 22, 1, 64.1762, 10.9029, 0.220, 1.403, 0.004

1, 11, 23, 1, 64.1762, 10.9029, 0.350, 1.336, 0.004

0, 11, 22, 2, 64.1762, 10.9029, 0.220, 1.406, 0.004

1, 11, 23, 2, 64.1762, 10.9029, 0.350, 1.367, 0.004

0, 11, 22, 3, 64.1762, 10.9029, 0.230, 1.404, 0.004

1, 11, 23, 3, 64.1762, 10.9029, 0.360, 1.366, 0.004

0, 11, 22, 4, 64.1762, 10.9029, 0.220, 1.399, 0.004

1, 11, 23, 4, 64.1762, 10.9029, 0.340, 1.379, 0.004

0, 11, 22, 0, 64.1762, 11.1529, 0.220, 1.403, 0.004

1, 11, 23, 0, 64.1762, 11.1529, 0.350, 1.374, 0.004

0, 11, 22, 1, 64.1762, 11.1529, 0.230, 1.402, 0.004

1, 11, 23, 1, 64.1762, 11.1529, 0.360, 1.384, 0.004

0, 11, 22, 2, 64.1762, 11.1529, 0.230, 1.405, 0.004

1, 11, 23, 2, 64.1762, 11.1529, 0.340, 1.380, 0.004

0, 11, 22, 3, 64.1762, 11.1529, 0.220, 1.404, 0.004

1, 11, 23, 3, 64.1762, 11.1529, 0.340, 1.375, 0.004

0, 11, 22, 4, 64.1762, 11.1529, 0.230, 1.399, 0.004

1, 11, 23, 4, 64.1762, 11.1529, 0.350, 1.375, 0.004

0, 11, 22, 0, 64.1762, 11.4029, 0.230, 1.407, 0.004

1, 11, 23, 0, 64.1762, 11.4029, 0.340, 1.381, 0.004

0, 11, 22, 1, 64.1762, 11.4029, 0.220, 1.400, 0.004

1, 11, 23, 1, 64.1762, 11.4029, 0.350, 1.369, 0.004

0, 11, 22, 2, 64.1762, 11.4029, 0.220, 1.396, 0.004

1, 11, 23, 2, 64.1762, 11.4029, 0.350, 1.379, 0.004

0, 11, 22, 3, 64.1762, 11.4029, 0.230, 1.397, 0.004

1, 11, 23, 3, 64.1762, 11.4029, 0.330, 1.369, 0.004

0, 11, 22, 4, 64.1762, 11.4029, 0.230, 1.403, 0.004

1, 11, 23, 4, 64.1762, 11.4029, 0.330, 1.365, 0.004

0, 11, 22, 0, 64.1762, 11.6529, 0.230, 1.400, 0.004

1, 11, 23, 0, 64.1762, 11.6529, 0.350, 1.383, 0.004

0, 11, 22, 1, 64.1762, 11.6529, 0.230, 1.404, 0.004

1, 11, 23, 1, 64.1762, 11.6529, 0.340, 1.376, 0.004

0, 11, 22, 2, 64.1762, 11.6529, 0.220, 1.401, 0.004

1, 11, 23, 2, 64.1762, 11.6529, 0.360, 1.369, 0.004

0, 11, 22, 3, 64.1762, 11.6529, 0.220, 1.402, 0.004

1, 11, 23, 3, 64.1762, 11.6529, 0.350, 1.366, 0.004

0, 11, 22, 4, 64.1762, 11.6529, 0.230, 1.402, 0.004

1, 11, 23, 4, 64.1762, 11.6529, 0.340, 1.370, 0.004

0, 11, 22, 0, 64.1762, 11.9029, 0.230, 1.401, 0.004

1, 11, 23, 0, 64.1762, 11.9029, 0.340, 1.375, 0.004

0, 11, 22, 1, 64.1762, 11.9029, 0.230, 1.403, 0.004

1, 11, 23, 1, 64.1762, 11.9029, 0.350, 1.377, 0.004

0, 11, 22, 2, 64.1762, 11.9029, 0.230, 1.396, 0.004

1, 11, 23, 2, 64.1762, 11.9029, 0.340, 1.372, 0.004

0, 11, 22, 3, 64.1762, 11.9029, 0.220, 1.401, 0.004

1, 11, 23, 3, 64.1762, 11.9029, 0.330, 1.378, 0.004

0, 11, 22, 4, 64.1762, 11.9029, 0.230, 1.408, 0.004

1, 11, 23, 4, 64.1762, 11.9029, 0.340, 1.377, 0.004

0, 11, 22, 0, 64.1762, 12.1529, 0.230, 1.410, 0.004

1, 11, 23, 0, 64.1762, 12.1529, 0.350, 1.364, 0.004

0, 11, 22, 1, 64.1762, 12.1529, 0.230, 1.400, 0.004

1, 11, 23, 1, 64.1762, 12.1529, 0.350, 1.382, 0.004

0, 11, 22, 2, 64.1762, 12.1529, 0.230, 1.405, 0.004

1, 11, 23, 2, 64.1762, 12.1529, 0.340, 1.391, 0.004

0, 11, 22, 3, 64.1762, 12.1529, 0.220, 1.401, 0.004

1, 11, 23, 3, 64.1762, 12.1529, 0.340, 1.363, 0.004

0, 11, 22, 4, 64.1762, 12.1529, 0.230, 1.404, 0.004

1, 11, 23, 4, 64.1762, 12.1529, 0.340, 1.377, 0.004

0, 11, 22, 0, 64.1762, 12.4029, 0.220, 1.401, 0.004

1, 11, 23, 0, 64.1762, 12.4029, 0.340, 1.371, 0.004

0, 11, 22, 1, 64.1762, 12.4029, 0.230, 1.399, 0.004

1, 11, 23, 1, 64.1762, 12.4029, 0.350, 1.370, 0.004

0, 11, 22, 2, 64.1762, 12.4029, 0.230, 1.396, 0.004

1, 11, 23, 2, 64.1762, 12.4029, 0.360, 1.352, 0.004

0, 11, 22, 3, 64.1762, 12.4029, 0.230, 1.403, 0.004

1, 11, 23, 3, 64.1762, 12.4029, 0.340, 1.380, 0.004

0, 11, 22, 4, 64.1762, 12.4029, 0.230, 1.397, 0.004

1, 11, 23, 4, 64.1762, 12.4029, 0.340, 1.380, 0.004

0, 11, 22, 0, 64.1762, 12.6529, 0.230, 1.394, 0.004

1, 11, 23, 0, 64.1762, 12.6529, 0.340, 1.378, 0.004

0, 11, 22, 1, 64.1762, 12.6529, 0.230, 1.403, 0.004

1, 11, 23, 1, 64.1762, 12.6529, 0.350, 1.391, 0.004

0, 11, 22, 2, 64.1762, 12.6529, 0.230, 1.397, 0.004

1, 11, 23, 2, 64.1762, 12.6529, 0.330, 1.360, 0.004

0, 11, 22, 3, 64.1762, 12.6529, 0.220, 1.403, 0.004

1, 11, 23, 3, 64.1762, 12.6529, 0.360, 1.382, 0.004

0, 11, 22, 4, 64.1762, 12.6529, 0.230, 1.400, 0.004

1, 11, 23, 4, 64.1762, 12.6529, 0.350, 1.370, 0.004

0, 11, 22, 0, 64.1762, 12.9029, 0.230, 1.402, 0.004

1, 11, 23, 0, 64.1762, 12.9029, 0.340, 1.384, 0.004

0, 11, 22, 1, 64.1762, 12.9029, 0.230, 1.402, 0.004

1, 11, 23, 1, 64.1762, 12.9029, 0.330, 1.365, 0.004

0, 11, 22, 2, 64.1762, 12.9029, 0.230, 1.404, 0.004

1, 11, 23, 2, 64.1762, 12.9029, 0.350, 1.374, 0.004

0, 11, 22, 3, 64.1762, 12.9029, 0.230, 1.401, 0.004

1, 11, 23, 3, 64.1762, 12.9029, 0.360, 1.373, 0.004

0, 11, 22, 4, 64.1762, 12.9029, 0.220, 1.404, 0.004

1, 11, 23, 4, 64.1762, 12.9029, 0.350, 1.359, 0.004

0, 11, 22, 0, 64.1762, 13.1529, 0.230, 1.402, 0.004

1, 11, 23, 0, 64.1762, 13.1529, 0.350, 1.380, 0.004

0, 11, 22, 1, 64.1762, 13.1529, 0.220, 1.399, 0.004

1, 11, 23, 1, 64.1762, 13.1529, 0.350, 1.368, 0.004

0, 11, 22, 2, 64.1762, 13.1529, 0.230, 1.397, 0.004

1, 11, 23, 2, 64.1762, 13.1529, 0.340, 1.382, 0.004

0, 11, 22, 3, 64.1762, 13.1529, 0.220, 1.397, 0.004

